                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.2525,                 1.2134,                 1.0685,                0.63708,                0.55802,                0.57949,                0.36326,                 1.6648,                 1.4137,                  1.397,             0.00066425,             0.00066425,             0.00066425
                     74,                 1.1366,                 1.1692,                  1.072,                0.70547,                 0.5408,                0.57099,                0.36225,                 1.6758,                 1.3836,                 1.3966,               0.000656,               0.000656,               0.000656
                     75,                 1.0482,                0.91656,                 1.0328,                0.77234,                0.51404,                0.57536,                0.36312,                 1.7082,                  1.393,                 1.4081,             0.00064775,             0.00064775,             0.00064775
                     76,                 1.1638,                 1.0313,                 1.0678,                0.80299,                0.50376,                0.57425,                0.36219,                 1.6958,                 1.4081,                 1.3891,              0.0006395,              0.0006395,              0.0006395
                     77,                  1.003,                 1.0694,                 1.0649,                0.49913,                0.55512,                0.53635,                0.33707,                 1.6539,                 1.3869,                 1.3562,             0.00063125,             0.00063125,             0.00063125
                     78,                 1.0433,                 1.1751,                 1.0848,                0.48261,                0.65754,                0.54468,                0.33055,                  1.676,                 1.4079,                 1.3719,               0.000623,               0.000623,               0.000623
                     79,                 1.1354,                 1.0655,                 1.0596,                 0.4489,                0.59168,                0.52333,                0.31918,                 1.7275,                  1.492,                 1.3834,             0.00061475,             0.00061475,             0.00061475
                     80,                 1.0515,                 0.9209,                 1.0371,                0.51161,                0.49209,                0.52031,                 0.3079,                 1.8195,                 1.6314,                 1.4338,              0.0006065,              0.0006065,              0.0006065
                     81,                 1.0896,                 1.1916,                 1.0614,                0.62137,                0.44713,                0.51954,                0.30197,                 1.8165,                 1.7581,                 1.4384,             0.00059825,             0.00059825,             0.00059825
                     82,                 1.0877,                 1.0004,                 1.0296,                0.69263,                0.38325,                0.50439,                0.30604,                 1.7898,                  1.892,                 1.4318,                0.00059,                0.00059,                0.00059
                     83,                 1.0073,                 1.1615,                 1.0364,                0.48376,                0.48789,                0.45023,                0.25866,                 1.7788,                 2.0073,                 1.4419,             0.00058175,             0.00058175,             0.00058175
                     84,                 1.1196,                 1.0759,                 1.0636,                0.45668,                0.44213,                0.42337,                0.23727,                 1.7706,                 2.0912,                 1.4461,              0.0005735,              0.0005735,              0.0005735
                     85,                0.98278,                0.97552,                 1.0089,                0.53258,                0.32053,                0.40331,                0.23354,                 1.7862,                 2.1654,                 1.4663,             0.00056525,             0.00056525,             0.00056525
                     86,                 1.0752,                 1.0452,                 1.0388,                0.53245,                0.31275,                0.38574,                 0.2227,                 1.7853,                 2.1674,                 1.4718,               0.000557,               0.000557,               0.000557
                     87,                 1.1354,                 1.0986,                   1.06,                0.45688,                0.34847,                0.39778,                 0.2355,                 1.7702,                 2.0035,                 1.4557,             0.00054875,             0.00054875,             0.00054875
                     88,                 0.9464,                 1.7585,                 1.0192,                0.53585,                0.35605,                0.45452,                0.27987,                 1.7365,                 1.8192,                 1.4308,              0.0005405,              0.0005405,              0.0005405
                     89,                 1.0538,                 0.8809,                 1.0123,                0.66113,                0.41693,                 0.4846,                0.29047,                 1.7129,                 1.6366,                 1.4098,             0.00053225,             0.00053225,             0.00053225
                     90,                 1.0552,                 1.0116,                 1.0283,                0.69212,                 0.4408,                0.53086,                0.31558,                 1.7034,                 1.5163,                 1.3964,               0.000524,               0.000524,               0.000524
                     91,                 1.0214,                 1.0081,                 1.0425,                0.57579,                0.59586,                0.58913,                0.33477,                 1.7085,                 1.4548,                 1.3921,             0.00051575,             0.00051575,             0.00051575
                     92,                 1.0982,                 1.0636,                 1.0325,                0.69682,                0.60984,                0.65233,                0.39759,                 1.6947,                 1.3842,                 1.3832,              0.0005075,              0.0005075,              0.0005075
                     93,                  1.188,                 1.0294,                  1.038,                0.61995,                0.65998,                0.64615,                0.41355,                 1.6818,                 1.3476,                 1.3768,             0.00049925,             0.00049925,             0.00049925
                     94,                0.99844,                 1.1063,                 1.0088,                 0.7048,                0.63171,                0.62812,                 0.4081,                 1.6818,                 1.3167,                  1.374,               0.000491,               0.000491,               0.000491
                     95,                 1.1347,                0.96886,                 1.0406,                0.73286,                0.60275,                0.62914,                0.40877,                 1.6868,                 1.3124,                 1.3798,             0.00048275,             0.00048275,             0.00048275
                     96,                0.99899,                0.93863,                 1.0392,                0.70784,                0.61201,                0.63843,                0.41736,                 1.6863,                 1.3248,                  1.382,              0.0004745,              0.0004745,              0.0004745
                     97,                 0.9937,                0.97258,                 1.0144,                0.71159,                0.61348,                0.63883,                0.42008,                 1.7155,                 1.3485,                 1.4028,             0.00046625,             0.00046625,             0.00046625
                     98,                0.94813,                0.89399,                 1.0263,                0.66331,                0.62921,                0.62319,                0.38797,                 1.7343,                 1.3837,                 1.4239,               0.000458,               0.000458,               0.000458
                     99,                 1.0621,                0.92568,                 1.0461,                0.67574,                0.61191,                0.62917,                0.39461,                 1.7497,                 1.3985,                 1.4344,             0.00044975,             0.00044975,             0.00044975
                    100,                 1.0255,                0.94175,                 1.0402,                 0.6733,                0.62522,                0.62944,                0.39357,                 1.7706,                 1.3942,                 1.4464,              0.0004415,              0.0004415,              0.0004415
                    101,                 1.0968,                  1.022,                 1.0442,                0.68426,                0.63768,                0.63927,                  0.383,                 1.7749,                 1.3666,                  1.452,             0.00043325,             0.00043325,             0.00043325
                    102,                0.95574,                0.96845,                 1.0034,                0.57997,                0.67353,                0.60624,                0.37541,                 1.8004,                 1.3531,                 1.4582,               0.000425,               0.000425,               0.000425
                    103,                 1.0795,                0.87878,                 1.0176,                0.64042,                0.59301,                0.59738,                0.37788,                 1.8061,                 1.3521,                 1.4534,             0.00041675,             0.00041675,             0.00041675
                    104,                0.95885,                0.89753,                 1.0096,                0.66414,                0.64275,                0.61175,                0.36813,                 1.8001,                 1.3748,                 1.4495,              0.0004085,              0.0004085,              0.0004085
                    105,                0.97786,                0.87042,                 1.0067,                0.63212,                0.65004,                0.59539,                0.35691,                 1.7678,                 1.4116,                 1.4375,             0.00040025,             0.00040025,             0.00040025
                    106,                 1.0483,                0.93881,                 1.0078,                0.62827,                0.61886,                0.58995,                0.34227,                 1.7545,                  1.442,                 1.4336,               0.000392,               0.000392,               0.000392
                    107,                0.96975,                0.87676,                 1.0124,                0.64296,                0.61777,                0.59591,                0.34601,                 1.7506,                 1.4813,                 1.4358,             0.00038375,             0.00038375,             0.00038375
                    108,                0.99343,                0.99871,                 1.0074,                 0.6542,                0.61186,                0.59908,                0.35066,                 1.7554,                 1.5049,                 1.4419,              0.0003755,              0.0003755,              0.0003755
                    109,                 1.0893,                 1.0571,                 1.0468,                0.66406,                0.61755,                0.60253,                0.36706,                 1.7727,                 1.5465,                 1.4649,             0.00036725,             0.00036725,             0.00036725
                    110,                0.98888,                0.81996,                 1.0071,                0.65094,                0.60712,                0.59624,                0.37068,                 1.7767,                 1.6041,                 1.4694,               0.000359,               0.000359,               0.000359
                    111,                 1.0074,                0.87992,                 1.0344,                0.67221,                0.58987,                0.59609,                0.37416,                 1.7919,                 1.6403,                 1.4862,             0.00035075,             0.00035075,             0.00035075
                    112,                0.98639,                0.83221,                 0.9919,                 0.6567,                0.57086,                0.60552,                 0.3709,                 1.8032,                 1.6654,                 1.4917,              0.0003425,              0.0003425,              0.0003425
                    113,                0.93677,                0.75942,                  0.975,                0.71745,                0.52321,                0.61363,                0.38279,                 1.8002,                  1.638,                 1.4938,             0.00033425,             0.00033425,             0.00033425
                    114,                 0.9377,                0.86752,                 1.0045,                0.59294,                0.59294,                0.61285,                0.37886,                  1.801,                  1.613,                 1.4952,               0.000326,               0.000326,               0.000326
                    115,                 1.0303,                0.85956,                 1.0469,                0.63561,                0.56649,                 0.6039,                0.36639,                 1.8023,                 1.5727,                 1.4978,             0.00031775,             0.00031775,             0.00031775
                    116,                 1.0392,                0.80282,                 1.0492,                0.63218,                0.56502,                0.57954,                0.36005,                 1.8033,                 1.5429,                 1.5003,              0.0003095,              0.0003095,              0.0003095
                    117,                  1.108,                0.83697,                 1.0088,                0.66529,                0.55033,                0.60177,                0.37761,                 1.8053,                 1.5081,                 1.4985,             0.00030125,             0.00030125,             0.00030125
