                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1362,                 1.1839,                 1.0898,                0.60073,                0.57339,                0.57081,                0.29631,                   1.72,                 1.3776,                 1.4154,              0.0006395,              0.0006395,              0.0006395
                     77,                 1.1155,                0.98827,                 1.0702,                0.62668,                0.56674,                0.56634,                0.28219,                 1.7476,                 1.4301,                  1.422,             0.00063125,             0.00063125,             0.00063125
                     78,                 1.1409,                   1.08,                 1.0963,                0.66383,                0.55348,                0.55388,                0.29051,                 1.7748,                 1.4791,                 1.4329,               0.000623,               0.000623,               0.000623
                     79,                  1.105,                 1.0527,                 1.0505,                0.68461,                0.53542,                0.55843,                 0.3011,                 1.7748,                 1.5359,                 1.4365,             0.00061475,             0.00061475,             0.00061475
                     80,                 1.0084,                0.88941,                 1.0306,                0.58518,                0.52804,                0.53847,                0.29284,                  1.772,                 1.5399,                 1.4436,              0.0006065,              0.0006065,              0.0006065
                     81,                 1.1241,                 1.1089,                 1.0516,                0.58232,                0.51057,                0.51899,                0.27729,                 1.8012,                 1.5497,                 1.4507,             0.00059825,             0.00059825,             0.00059825
                     82,                 1.0204,                0.92052,                 1.0116,                0.54684,                0.49091,                 0.4773,                0.26564,                 1.8318,                 1.5418,                 1.4826,                0.00059,                0.00059,                0.00059
                     83,                 1.1176,                0.98402,                 1.0365,                0.54496,                0.50883,                0.46548,                0.27098,                 1.7992,                 1.4879,                 1.4725,             0.00058175,             0.00058175,             0.00058175
                     84,                 1.1415,                 1.0133,                 1.0627,                0.58945,                0.51117,                0.49304,                0.30519,                 1.7505,                 1.4365,                 1.4489,              0.0005735,              0.0005735,              0.0005735
                     85,                 1.0138,                0.95957,                 1.0072,                0.63838,                0.52545,                0.55579,                0.35587,                  1.729,                 1.4182,                 1.4351,             0.00056525,             0.00056525,             0.00056525
                     86,                 1.1093,                 1.0889,                 1.0486,                0.70331,                0.54558,                0.56615,                0.35202,                 1.7343,                 1.4504,                  1.428,               0.000557,               0.000557,               0.000557
                     87,                  1.123,                0.90086,                 1.0308,                0.65372,                0.57601,                0.56156,                0.34511,                 1.7322,                 1.4482,                 1.4203,             0.00054875,             0.00054875,             0.00054875
                     88,                 1.0765,                0.92754,                 1.0504,                0.64606,                0.52575,                0.55079,                 0.3367,                 1.7275,                 1.4689,                 1.4096,              0.0005405,              0.0005405,              0.0005405
                     89,                 1.0522,                0.89044,                 1.0208,                0.67207,                0.51848,                0.57193,                0.34107,                 1.7136,                 1.4853,                 1.3964,             0.00053225,             0.00053225,             0.00053225
